graphicsmagick 1.3.38-4
graphite 1:1.3.14-2
graphviz 5.0.1-1
grep 3.8-2
grilo 0.3.15-1
grilo-plugins 1:0.3.15-1
groff 1.22.4-7
grub 2:2.06.r322.gd9b4638c5-4
grub-theme-vimix 20190605-2
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsl 2.7.1-1
gsm 1.0.22-1
gsound 1.0.3-2
gspell 1.10.0-2
gssdp 1.4.0.1-1
gst-editing-services 1.20.3-2
gst-plugin-gtk 1.20.3-2
gst-plugins-bad 1.20.3-2
gst-plugins-bad-libs 1.20.3-2
gst-plugins-base 1.20.3-2
gst-plugins-base-libs 1.20.3-2
gst-plugins-good 1.20.3-2
gstreamer 1.20.3-2
gtk-doc 1.33.2-1
gtk-update-icon-cache 1:4.8.1-1
gtk-vnc 1.3.1-1
gtk2 2.24.33-2
gtk3 1:3.24.34-1
gtk4 1:4.8.1-1
gtkmm3 3.24.7-1
gtksourceview4 4.8.3-1
gtksourceview5 5.4.2-1
gts 0.7.6.121130-2
gucharmap 14.0.3-1
guile 2.2.7-2
gupnp 1:1.4.3-1
gupnp-av 0.14.1-1
gupnp-dlna 0.12.0-1
gupnp-igd 1.2.0-2
gvfs 1.50.2-1
gvfs-afc 1.50.2-1
gvfs-goa 1.50.2-1
gvfs-google 1.50.2-1
gvfs-gphoto2 1.50.2-1
gvfs-mtp 1.50.2-1
gvfs-nfs 1.50.2-1
gvfs-smb 1.50.2-1
gzip 1.12-1
harfbuzz 5.2.0-1
harfbuzz-icu 5.2.0-1
haskell-adjunctions 4.4.2-14
haskell-aeson 1.5.6.0-137
haskell-aeson-pretty 0.8.9-88
haskell-alsa-core 0.5.0.1-17
haskell-alsa-mixer 0.3.0-73
haskell-ansi-terminal 0.11.3-19
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-187
haskell-asn1-parse 0.9.5-187
haskell-asn1-types 0.3.4-166
haskell-assoc 1.0.2-159
haskell-async 2.2.4-105
haskell-attoparsec 0.14.4-33
haskell-base-compat 0.12.2-1
haskell-base-compat-batteries 0.12.2-4
haskell-base-orphans 0.8.7-11
haskell-base16-bytestring 1.0.2.0-39
haskell-base64-bytestring 1.2.1.0-61
haskell-basement 0.0.15-1
haskell-bifunctors 5.5.13-1
haskell-bitvec 1.1.3.0-7
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-183
haskell-blaze-markup 0.8.2.8-89
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
